time_s,normalized_intensity
0.0,0.0
0.5,0.08073070169601965
1.0,0.14962113970387064
1.5,0.208481161732292
2.0,0.25884288212514045
2.5,0.30200331742933456
3.0,0.3390604766463489
3.5,0.3709439109926325
4.0,0.3984405737352702
4.5,0.42221671009173944
5.0,0.44283638665116826
5.5,0.46077717621165865
6.0,0.4764434347289977
6.5,0.4901775400313716
7.0,0.5022694052059625
7.5,0.5129645315265415
8.0,0.5224708251289253
8.5,0.5309643672213159
9.0,0.5385942984807747
9.5,0.5454869536241748
10.0,0.5517493612652937
10.5,0.5574722064979598
11.0,0.5627323386863663
11.5,0.5675948942813127
12.0,0.5721150937626778
12.5,0.5763397627354588
13.0,0.5803086195266032
13.5,0.5840553651287886
14.0,0.5876086058342734
14.5,0.5909926342437154
15.0,0.5942280903917617
15.5,0.5973325213934507
16.0,0.6003208551901136
16.5,0.6032058015818521
17.0,0.6059981917092186
17.5,0.6087072654330535
18.0,0.6113409146108594
18.5,0.6139058890401894
19.0,0.6164079708001432
19.5,0.6188521218422368
20.0,0.6212426089371575
20.5,0.6235831094534947
21.0,0.6258768009108954
21.5,0.6281264367983769
22.0,0.630334410766159
22.5,0.6325028109757078
23.0,0.6346334661187037
23.5,0.6367279843837274
24.0,0.638787786453139
24.5,0.6408141334464538
25.0,0.6428081505858434
25.5,0.6447708472403297
26.0,0.6467031339044375
26.5,0.6486058365817587
27.0,0.6504797089716617
27.5,0.6523254427962394
28.0,0.6541436765528481
28.5,0.6559350029337816
29.0,0.6576999751175461
29.5,0.6594391121048151
30.0,0.6611529032455727
30.5,0.6628418120814698
31.0,0.6645062796083694
31.5,0.6661467270479574
32.0,0.667763558203638
32.5,0.669357161464401
33.0,0.6709279115105636
33.5,0.6724761707670202
34.0,0.6740022906426297
34.5,0.6755066125884424
35.0,0.6769894690024448
35.5,0.6784511840042627
36.0,0.6798920740996559
36.5,0.6813124487516031
37.0,0.682712610872193
37.5,0.6840928572473612
38.0,0.6854534789046605
38.5,0.686794761432697
39.0,0.6881169852595341
39.5,0.6894204258962507
40.0,0.6907053541508921
40.5,0.6919720363172469
41.0,0.6932207343422071
41.5,0.694451705974891
42.0,0.6956652049002239
42.5,0.6968614808592569
43.0,0.6980407797581586
43.5,0.6992033437675165
44.0,0.7003494114133348
44.5,0.7014792176609077
45.0,0.7025929939925618
45.5,0.7036909684801146
46.0,0.7047733658527665
46.5,0.7058404075610333
47.0,0.7068923118372349
47.5,0.7079292937529807
48.0,0.7089515652740213
48.5,0.709959335312784
49.0,0.7109528097788621
49.5,0.711932191627684
50.0,0.7128976809075602
50.5,0.713849474805274
51.0,0.7147877676903549
51.5,0.7157127511581594
52.0,0.7166246140718618
52.5,0.7175235426034439
53.0,0.7184097202737592
53.5,0.7192833279917393
54.0,0.7201445440927983
54.5,0.7209935443764826
55.0,0.721830502143413
55.5,0.7226555882315521
56.0,0.7234689710518304
56.5,0.7242708166231618
57.0,0.7250612886068715
57.5,0.7258405483405577
58.0,0.7266087548714101
58.5,0.7273660649889994
59.0,0.7281126332575559
59.5,0.7288486120477516
60.0,0.7295741515679965
60.5,0.7302893998952643
61.0,0.7309945030054567
61.5,0.7316896048033159
62.0,0.7323748471518978
62.5,0.73305036990161
63.0,0.7337163109188278
63.5,0.7343728061140928
64.0,0.7350199894699038
64.5,0.7356579930681042
65.0,0.7362869471168774
65.5,0.7369069799773507
66.0,0.7375182181898208
66.5,0.7381207864996006
67.0,0.7387148078824975
67.5,0.7393004035699281
68.0,0.7398776930736727
68.5,0.7404467942102784
69.0,0.7410078231251133
69.5,0.7415608943160787
70.0,0.7421061206569837
70.5,0.7426436134205866
71.0,0.7431734823013096
71.5,0.7436958354376303
72.0,0.7442107794341543
72.5,0.7447184193833748
73.0,0.7452188588871236
73.5,0.7457122000777164
74.0,0.7461985436387986
74.5,0.7466779888258944
75.0,0.7471506334866659
75.5,0.7476165740808821
76.0,0.7480759057001072
76.5,0.7485287220871067
77.0,0.7489751156549813
77.5,0.7494151775060263
78.0,0.749848997450325
78.5,0.7502766640240786
79.0,0.7506982645076747
79.5,0.7511138849435011
80.0,0.751523610153505
80.5,0.7519275237565047
81.0,0.7523257081852557
81.5,0.7527182447032725
82.0,0.7531052134214151
82.5,0.7534866933142381
83.0,0.7538627622361074
83.5,0.7542334969370903
84.0,0.7545989730786189
84.5,0.7549592652489306
85.0,0.7553144469782922
85.5,0.7556645907540047
86.0,0.7560097680351978
86.5,0.7563500492674138
87.0,0.7566855038969835
87.5,0.7570162003852008
88.0,0.7573422062222928
88.5,0.7576635879411951
89.0,0.7579804111311297
89.5,0.75829274045099
90.0,0.7586006396425382
90.5,0.7589041715434126
91.0,0.7592033980999531
91.5,0.7594983803798423
92.0,0.7597891785845695
92.5,0.7600758520617168
93.0,0.7603584593170702
93.5,0.7606370580265609
94.0,0.7609117050480354
94.5,0.7611824564328596
95.0,0.7614493674373579
95.5,0.7617124925340903
96.0,0.7619718854229693
96.5,0.7622275990422198
97.0,0.762479685579182
97.5,0.7627281964809629
98.0,0.7629731824649357
98.5,0.7632146935290904
99.0,0.7634527789622374
99.5,0.7636874873540669
100.0,0.7639188666050656
100.5,0.7641469639362914
101.0,0.7643718258990123
101.5,0.764593498384205
102.0,0.7648120266319216
102.5,0.7650274552405218
103.0,0.7652398281757762
103.5,0.7654491887798367
104.0,0.7656555797800839
104.5,0.7658590432978466
105.0,0.7660596208569979
105.5,0.7662573533924295
106.0,0.7664522812584065
106.5,0.7666444442368026
107.0,0.7668338815452189
107.5,0.7670206318449886
108.0,0.7672047332490655
108.5,0.7673862233298037
109.0,0.7675651391266254
109.5,0.7677415171535793
110.0,0.7679153934067933
110.5,0.7680868033718204
111.0,0.7682557820308813
111.5,0.7684223638700031
112.0,0.7685865828860574
112.5,0.7687484725936994
113.0,0.7689080660322066
113.5,0.7690653957722225
114.0,0.7692204939224034
114.5,0.7693733921359712
115.0,0.7695241216171738
115.5,0.7696727131276528
116.0,0.7698191969927222
116.5,0.7699636031075565
117.0,0.7701059609432928
117.5,0.7702462995530446
118.0,0.7703846475778315
118.5,0.7705210332524248
119.0,0.7706554844111086
119.5,0.7707880284933619
120.0,0.7709186925494573
